1021.1 1145.2 235.45 10.151 46.175 23.762
1024.2 1146.5 238.74 10.103 46.182 23.422
1025.3 1147 239.98 10.089 46.194 23.358
1027.2 1147.8 242.05 10.072 46.102 23.163
1029.1 1148.6 244.21 10.061 46.16 22.977
1030.2 1149.1 245.44 10.046 46.118 22.834
1032.1 1149.9 247.52 10.024 46.469 22.813
1033.7 1150.5 249.18 10.01 46.533 22.614
1035.6 1151.3 251.27 9.9988 46.688 22.41
1037.9 1152.3 253.78 9.9939 46.789 22.385
1039.9 1153.1 255.86 9.9909 46.646 22.286
1041.4 1153.7 257.53 9.9905 46.605 22.179
1044.1 1154.8 260.45 9.9946 46.719 22.162
1046 1155.6 262.54 10.001 47.023 21.922
1048.4 1156.5 265.08 10.014 47.487 21.877
1050 1157.2 266.78 10.022 47.629 22.052
1052 1158 268.92 10.02 48.055 22.526
1053.2 1158.5 270.21 10.012 48.084 22.562
1055.5 1159.5 272.8 9.9873 48.181 22.894
1057.5 1160.3 274.95 9.957 48.153 23.195
1059.5 1161.2 277.01 9.9273 47.996 23.357
1060.7 1161.7 278.3 9.9101 47.944 23.498
1062.6 1162.5 280.44 9.8762 47.619 23.73
1064.2 1163.2 282.13 9.8457 47.275 23.833
1065.7 1163.9 283.81 9.8086 46.863 23.949
1067.6 1164.7 285.88 9.765 45.869 23.871
1069.1 1165.4 287.51 9.7342 45.319 23.703
1070.9 1166.2 289.51 9.7068 44.683 23.285
1072.4 1166.8 291.1 9.6965 44.21 22.891
1073.5 1167.3 292.29 9.6967 43.977 22.475
1074.6 1167.7 293.46 9.7046 43.746 22.213
1077.5 1168.9 296.57 9.7614 43.264 21.058
1078.9 1169.4 298.11 9.8155 43.219 20.329
1080.4 1169.9 299.65 9.891 43.093 19.509
1081.8 1170.4 301.19 9.9858 42.904 18.78
1084 1171.2 305.02 9.9054 43.126 17.779
1085.8 1171.7 306.94 9.7931 43.235 16.769
1088.1 1172.4 309.27 9.7008 43.48 15.764
1090 1172.9 311.22 9.6508 43.573 15.124
1092.2 1173.5 313.55 9.6226 43.611 14.179
1093.4 1173.8 314.73 9.6233 43.651 13.794
1095.6 1174.3 317.07 9.6438 43.652 13.178
1097.2 1174.7 318.63 9.6737 43.658 12.601
1099.1 1175.1 320.57 9.7279 43.588 12.094
1100.6 1175.4 322.13 9.7869 43.603 11.553
1102.1 1175.7 323.69 9.859 43.536 11.1
1103.6 1176 325.25 9.9439 43.688 10.543
1106 1176.4 328.74 9.8633 43.796 9.6282
1107.9 1176.7 330.7 9.7991 43.816 8.9605
1109.5 1177 332.27 9.7642 43.995 8.4156
1111.8 1177.3 334.65 9.7358 44.487 7.885
1113.4 1177.5 336.24 9.7282 44.687 7.5583
1116.2 1177.9 339.05 9.7363 44.968 6.9938
1118.2 1178.1 341.07 9.7565 45.266 6.6757
1120.2 1178.3 343.1 9.7879 45.376 6.5215
1121.8 1178.5 344.72 9.8152 45.472 6.3681
1123 1178.7 345.94 9.838 45.338 6.2318
1124.2 1178.8 347.16 9.863 45.338 6.1697
1125.4 1178.9 348.37 9.891 45.448 6.0106
1127.5 1179.1 350.41 9.9456 45.642 5.7663
1129.1 1179.3 352.58 9.9462 45.738 5.5481
1131.1 1179.5 354.62 9.9098 45.816 5.1854
1134 1179.7 357.49 9.8751 45.919 4.9549
1135.6 1179.9 359.14 9.8585 46.015 4.8191
1138.5 1180.1 362.02 9.8442 46.109 4.5221
1140.1 1180.2 363.67 9.84 46.109 4.4491
1143 1180.5 366.57 9.8366 46.436 4.4171
1144.7 1180.6 368.24 9.8368 46.537 4.2671
1146.4 1180.7 369.91 9.8404 46.76 4.1104
1149.3 1180.9 372.84 9.8531 46.651 4.1248
1152.2 1181.1 375.75 9.8729 46.396 3.8037
1153.9 1181.2 377.42 9.8908 46.512 3.6607
1155.5 1181.3 379.08 9.9083 46.41 3.665
1157.6 1181.5 381.15 9.9383 46.382 3.4628
1159.2 1181.6 382.81 9.966 46.376 3.2522
1160.5 1181.6 384.05 9.9923 46.486 3.0378
1162.6 1181.7 386.42 9.9859 46.596 3.0315
1164.2 1181.8 388.09 9.9797 46.698 2.8823
1167.2 1182 391.03 9.9722 47.263 2.9244
1168.8 1182.1 392.71 9.9686 47.257 2.7889
1171.4 1182.2 395.24 9.9709 47.246 2.5092
1173.1 1182.2 396.94 9.9756 47.37 2.5059
1175.6 1182.4 399.48 9.9874 47.461 2.4314
1177.3 1182.4 401.18 9.9936 47.574 2.5631
1178.6 1182.5 402.45 9.9966 47.479 2.569
1181.1 1182.6 405 9.9966 47.47 2.6324
1182.8 1182.7 406.71 9.9974 47.484 2.7062
1184.1 1182.7 407.98 9.9964 47.47 2.6948
1186.2 1182.8 410.1 9.9894 47.373 2.9852
1187.9 1182.9 411.8 9.9797 47.373 2.9852
1189.6 1183 413.49 9.9711 47.38 2.8478
1191.3 1183.1 415.18 9.9662 47.143 2.7885
1192.5 1183.2 416.45 9.9618 47.367 2.8449
1193.8 1183.2 417.72 9.9594 47.252 2.6528
1195.5 1183.3 419.41 9.9587 47.47 2.7065
1197.6 1183.4 421.53 9.9579 47.579 2.7
1199.7 1183.5 423.66 9.9574 47.697 2.554
1201.5 1183.6 425.37 9.9613 47.806 2.4827
1202.7 1183.6 426.65 9.9666 47.802 2.4176
1204.4 1183.7 428.37 9.9738 47.911 2.409
1205.7 1183.8 429.65 9.9794 48.019 2.4714
1207 1183.8 430.94 9.9839 48.02 2.4059
1209.2 1183.9 433.21 9.9869 47.806 2.5563
1210.9 1184 434.92 9.9676 47.697 2.6248
